REGIAO;BAIRRO;FREQUENCIA_ABSOLUTA;FREQUÊNCIA_RELATIVA
Praias da Baía;ICARAI;45;30,2%
Norte;FONSECA;44;47,8%
Praias da Baía;CENTRO;28;18,8%
Oceânica;ITAIPU;24;35,8%
Praias da Baía;SANTA ROSA;24;16,1%
Oceânica;PIRATININGA;23;34,3%
Praias da Baía;SAO FRANCISCO;18;12,1%
Norte;BARRETO;17;18,5%
Pendotiba;BADU;12;30,0%
Praias da Baía;SAO DOMINGOS;8;5,4%
Praias da Baía;INGA;8;5,4%
Norte;SANTA BARBARA;6;6,5%
Oceânica;ENGENHO DO MATO;6;9,0%
Leste;VARZEA DAS MOCAS;5;71,4%
Norte;ILHA DA CONCEICAO;5;5,4%
Pendotiba;SAPE;5;12,5%
Norte;ENGENHOCA;5;5,4%
Norte;CARAMUJO;5;5,4%
Pendotiba;CANTAGALO;4;10,0%
Norte;BALDEADOR;4;4,3%
Pendotiba;MATA PACA;4;10,0%
Praias da Baía;JURUJUBA;4;2,7%
Praias da Baía;CHARITAS;4;2,7%
Pendotiba;LARGO DA BATALHA;4;10,0%
Pendotiba;ITITIOCA;3;7,5%
Pendotiba;PENDOTIBA;3;7,5%
Praias da Baía;VITAL BRAZIL;3;2,0%
Oceânica;JACARE;3;4,5%
Oceânica;CAMBOINHAS;3;4,5%
Oceânica;SERRA GRANDE;3;4,5%
Leste;RIO DO OURO;2;28,6%
-;ATALAIA;2;Não é Região
Oceânica;MARAVISTA;2;3,0%
Pendotiba;VILA PROGRESSO;2;5,0%
Norte;CUBANGO;2;2,2%
Praias da Baía;PONTA DAREIA;2;1,3%
-;MORRO DO CASTRO;2;Não é Região
- ;LARGO DO BARRADAS;2;Não é Região
Praias da Baía;PE PEQUENO;2;1,3%
Norte;SAO LOURENCO;2;2,2%
Oceânica;PIRATININGA/ CAFUBA;1;1,5%
-;MARALEGRE - PIRATININGA;1;Não é Região
Oceânica;JARDIM IMBUI;1;1,5%
Oceânica;SERRA GRANDE - ITAIPU;1;1,5%
Pendotiba;MARIA PAULA;1;2,5%
Norte;TENENTE JARDIM;1;1,1%
Praias da Baía;PONTA DA AREIA;1;0,7%
Pendotiba;MATAPACA;1;2,5%
Pendotiba;MACEIO;1;2,5%
Praias da Baía;MORRO DO ESTADO;1;0,7%
-;FIGUEIRA;1;Não é Região
-;CALABOCA;1;Não é Região
Praias da Baía;FATIMA;1;0,7%
Norte;LARGO DO BARRADAS - BARRETO;1;1,1%
